#SampleID	disease_state	sheep_id	day	foot	sample_type
Sample-137-B43_SRR12514728	E_CODD	12	35	F3	Swab
Sample-104-B10_SRR12514729	E_CODD	5	38	F2	Swab
Sample-136-B42_SRR12514730	TRANSITION	12	23	F3	Swab
Sample-134-B40_SRR12514731	E_CODD	14	39	F3	Swab
Sample-133-B39_SRR12514732	E_CODD	14	38	F3	Swab
Sample-132-B38_SRR12514733	E_CODD	14	35	F3	Swab
Sample-131-B37_SRR12514734	E_CODD	14	31	F3	Swab
Sample-130-B36_SRR12514735	TRANSITION	14	21	F3	Swab
Sample-128-B34_SRR12514736	E_CODD	9	38	F1	Swab
Sample-126-B32_SRR12514737	E_CODD	9	35	F1	Swab
Sample-125-B31_SRR12514738	E_CODD	9	31	F1	Swab
Sample-124-B30_SRR12514739	TRANSITION	9	21	F1	Swab
Sample-103-B9_SRR12514740	E_CODD	5	35	F2	Swab
Sample-123-B29_SRR12514741	TREATED	23	47	F4	Swab
Sample-122-B28_SRR12514742	TREATED	8	47	F3	Swab
Sample-121-B27_SRR12514743	E_CODD	8	41	F4	Swab
Sample-120-B26_SRR12514744	TREATED	5	47	F1	Swab
Sample-95-B1_SRR12514745	TRANSITION	2	21	F2	Swab
Sample-98-262F2_SRR12514746	D_FOOTROT	2	26	F2	Swab
Sample-97-2612F3_SRR12514747	C_ID	12	26	F3	Swab
Sample-94-259F1_SRR12514748	C_ID	9	25	F1	Swab
Sample-93-258F3_SRR12514749	C_ID	8	25	F3	Swab
Sample-92-255F2_SRR12514750	C_ID	5	25	F2	Swab
Sample-91-252F2_SRR12514751	C_ID	2	25	F2	Swab
Sample-119-B25_SRR12514752	TREATED	2	47	F2	Swab
Sample-9-1514F3_SRR12514753	A_HEALTHY	14	15	F3	Swab
Sample-89-2514F3_SRR12514754	C_ID	14	25	F3	Swab
Sample-86-2512F3_SRR12514755	C_ID	12	25	F3	Swab
Sample-80-249F1_SRR12514756	C_ID	9	24	F1	Swab
Sample-79-242F2_SRR12514757	C_ID	2	24	F2	Swab
Sample-78-2414F3_SRR12514758	C_ID	14	24	F3	Swab
Sample-75-239F1_SRR12514759	TRANSITION	9	23	F1	Swab
Sample-74-238F3_SRR12514760	TRANSITION	8	23	F3	Swab
Sample-73-235F2_SRR12514761	TRANSITION	5	23	F2	Swab
Sample-71-232F2_SRR12514762	C_ID	2	23	F2	Swab
Sample-117-B23_SRR12514763	E_CODD	23	39	F4	Swab
Sample-69-2314F3_SRR12514764	C_ID	14	23	F3	Swab
Sample-66-2312F3_SRR12514765	TRANSITION	12	23	F3	Swab
Sample-62-2212F3_SRR12514766	C_ID	12	22	F3	Swab
Sample-6-1512F3_SRR12514767	A_HEALTHY	12	15	F3	Swab
Sample-59-219F1_SRR12514768	TRANSITION	9	21	F1	Swab
Sample-58-218F3_SRR12514769	TRANSITION	8	21	F3	Swab
Sample-57-215F2_SRR12514770	TRANSITION	5	21	F2	Swab
Sample-55-212F2_SRR12514771	TRANSITION	2	21	F2	Swab
Sample-53-2114F3_SRR12514772	TRANSITION	14	21	F3	Swab
Sample-50-2112F3_SRR12514773	TRANSITION	12	21	F3	Swab
Sample-116-B22_SRR12514774	E_CODD	23	38	F4	Swab
Sample-46-205F2_SRR12514775	C_ID	5	20	F2	Swab
Sample-42-199F1_SRR12514776	A_HEALTHY	9	19	F1	Swab
Sample-41-198F3_SRR12514777	TRANSITION	8	19	F3	Swab
Sample-40-195F2_SRR12514778	C_ID	5	19	F2	Swab
Sample-38-192F2_SRR12514779	TRANSITION	2	19	F2	Swab
Sample-36-1914F3_SRR12514780	TRANSITION	14	19	F3	Swab
Sample-33-1912F3_SRR12514781	A_HEALTHY	12	19	F3	Swab
Sample-29-185F2_SRR12514782	C_ID	5	18	F2	Swab
Sample-26-179F1_SRR12514783	A_HEALTHY	9	17	F1	Swab
Sample-25-178F3_SRR12514784	A_HEALTHY	8	17	F3	Swab
Sample-115-B21_SRR12514785	E_CODD	23	35	F4	Swab
Sample-24-175F2_SRR12514786	A_HEALTHY	5	17	F2	Swab
Sample-22-172F2_SRR12514787	A_HEALTHY	2	17	F2	Swab
Sample-20-1714F3_SRR12514788	A_HEALTHY	14	17	F3	Swab
Sample-2-135F2_SRR12514789	A_HEALTHY	5	13	F2	Swab
Extractcontrol_SRR12514790	CONTROL	EC	EC	EC	Control
Sample-190-19F3_SRR12514791	A_HEALTHY	9	1	F3	Swab
Sample-189-19F1_SRR12514792	A_HEALTHY	9	1	F1	Swab
Sample-188-18F3_SRR12514793	A_HEALTHY	8	1	F3	Swab
Sample-187-15F2_SRR12514794	A_HEALTHY	5	1	F2	Swab
Sample-186-13F1_SRR12514795	A_HEALTHY	3	1	F1	Swab
Sample-114-B20_SRR12514796	E_CODD	23	32	F4	Swab
Sample-185-12F2_SRR12514797	A_HEALTHY	2	1	F2	Swab
Sample-184-119F2_SRR12514798	A_HEALTHY	19	1	F2	Swab
Sample-183-114F3_SRR12514799	A_HEALTHY	14	1	F3	Swab
Sample-182-114F2_SRR12514800	A_HEALTHY	14	1	F2	Swab
Sample-181-113F3_SRR12514801	A_HEALTHY	13	1	F3	Swab
Sample-180-112F3_SRR12514802	A_HEALTHY	12	1	F3	Swab
Sample-179-112F1_SRR12514803	A_HEALTHY	12	1	F1	Swab
Sample-178-111F4_SRR12514804	A_HEALTHY	11	1	F4	Swab
Sample-177-110F4_SRR12514805	A_HEALTHY	10	1	F4	Swab
Sample-176-110F3_SRR12514806	A_HEALTHY	10	1	F3	Swab
Sample-113-B19_SRR12514807	A_HEALTHY	23	19	F4	Swab
Sample-102-B8_SRR12514808	E_CODD	5	33	F2	Swab
Sample-101-B7_SRR12514809	TRANSITION	5	23	F2	Swab
