Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_ID,Sample Name,Sheep_ID,SRA Study,visit_sheep_foot
SRR12486709,AMPLICON,495,86873299,PRJNA658364,SAMN15867672,Metagenome or environmental,41280803,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",CODD,SRX8978559,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,151-B57,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-151-B57,Sample-151-B57,BIOP,SRP278242,B15-2-BIOP
SRR12486710,AMPLICON,494,39367008,PRJNA658364,SAMN15867671,Metagenome or environmental,19175268,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",CODD,SRX8978558,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,150-B56,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-150-B56,Sample-150-B56,BIOP,SRP278242,B8-1-BIOP
SRR12486711,AMPLICON,495,34661954,PRJNA658364,SAMN15867670,Metagenome or environmental,16408829,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",CODD,SRX8978557,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,149-B55,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-149-B55,Sample-149-B55,BIOP,SRP278242,B1-1-BIOP
SRR12486712,AMPLICON,495,83664255,PRJNA658364,SAMN15867669,Metagenome or environmental,40815566,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",CODD,SRX8978556,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,148-B54,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-148-B54,Sample-148-B54,BIOP,SRP278242,B4-1-BIOP
SRR12486713,AMPLICON,495,43616484,PRJNA658364,SAMN15867544,Metagenome or environmental,20917650,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",E_CODD,SRX8978555,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,105-B11,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-105-B11,Sample-105-B11,5,SRP278242,41-5-F2
SRR12486714,AMPLICON,495,47539378,PRJNA658364,SAMN15867668,Metagenome or environmental,23141096,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",CODD,SRX8978554,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,147-B53,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-147-B53,Sample-147-B53,BIOP,SRP278242,B2-1-BIOP
SRR12486715,AMPLICON,493,55517902,PRJNA658364,SAMN15867667,Metagenome or environmental,26806033,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",CODD,SRX8978553,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,146-B52,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-146-B52,Sample-146-B52,BIOP,SRP278242,B6-1-BIOP
SRR12486716,AMPLICON,494,78029924,PRJNA658364,SAMN15867666,Metagenome or environmental,37285314,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",CODD,SRX8978552,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,145-B51,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-145-B51,Sample-145-B51,BIOP,SRP278242,B5-1-BIOP
SRR12486717,AMPLICON,496,66338422,PRJNA658364,SAMN15867665,Metagenome or environmental,32132739,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",CODD,SRX8978551,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,144-B50,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-144-B50,Sample-144-B50,BIOP,SRP278242,B7-1-BIOP
SRR12486718,AMPLICON,493,71640914,PRJNA658364,SAMN15867664,Metagenome or environmental,34776720,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",CODD,SRX8978550,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,143-B49,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-143-B49,Sample-143-B49,BIOP,SRP278242,B3-1-BIOP
SRR12486719,AMPLICON,494,65871496,PRJNA658364,SAMN15867647,Metagenome or environmental,32451662,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",G_CODD_T,SRX8978549,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,142-B48,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-142-B48,Sample-142-B48,12,SRP278242,47-12-F3
SRR12486720,AMPLICON,494,48798101,PRJNA658364,SAMN15867586,Metagenome or environmental,23465924,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",E_CODD,SRX8978548,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,141-B47,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-141-B47,Sample-141-B47,12,SRP278242,43-12-F3
SRR12486721,AMPLICON,494,65356849,PRJNA658364,SAMN15867584,Metagenome or environmental,31407346,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",E_CODD,SRX8978547,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,140-B46,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-140-B46,Sample-140-B46,12,SRP278242,38-12-F3
SRR12486722,AMPLICON,494,57542555,PRJNA658364,SAMN15867582,Metagenome or environmental,27774129,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",E_CODD,SRX8978546,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,138-B44,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:25:00Z,1,Sample-138-B44,Sample-138-B44,12,SRP278242,37-12-F3
SRR12486723,AMPLICON,494,59726181,PRJNA658364,SAMN15867580,Metagenome or environmental,28633773,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",E_CODD,SRX8978545,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,137-B43,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-137-B43,Sample-137-B43,12,SRP278242,35-12-F3
SRR12486724,AMPLICON,495,64536692,PRJNA658364,SAMN15867543,Metagenome or environmental,30482614,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",E_CODD,SRX8978544,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,104-B10,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-104-B10,Sample-104-B10,5,SRP278242,38-5-52
SRR12486725,AMPLICON,495,43393442,PRJNA658364,SAMN15867578,Metagenome or environmental,20732217,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",B_HEALTHY,SRX8978543,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,136-B42,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-136-B42,Sample-136-B42,12,SRP278242,23-12-F3
